Latitude,Longitude
Latitude,Longitude
29.99489216,31.31326866
29.99491688,31.31325340
29.99493600,31.31325340
29.99492648,31.31323814
29.99489216,31.31320190
29.99488256,31.31318664
29.99482920,31.31317330
29.99478344,31.31316376
29.99476240,31.31312942
29.99476816,31.31309128
29.99479104,31.31304740
29.99481008,31.31299592
29.99483112,31.31294442
29.99480248,31.31288146
29.99479672,31.31283378
29.99480056,31.31278610
29.99480056,31.31275178
29.99480248,31.31272316
29.99480056,31.31269074
29.99478720,31.31264686
29.99478344,31.31260108
29.99478152,31.31255340
29.99478344,31.31250954
29.99479672,31.31246758
29.99475480,31.31241036
29.99476240,31.31235694
29.99478344,31.31230546
29.99481008,31.31225586
29.99483112,31.31220436
29.99485776,31.31217956
29.99485400,31.31221390
29.99484824,31.31226540
